Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Status
BRAND | Dr. Weiser | AT | P1,Kanzleiname,dr weiser rechtsanwalt,Exact,1.50,https://drweiser.at/,Enabled
SUCHE | Immobilien+Treuhand | Wien+NÖ | P1,Miet- und Wohnrecht OPTIONAL,mietzinsminderung anwalt wien,Phrase,3.50,https://drweiser.at/immobilienrecht/mietrecht,Enabled
SUCHE | Immobilien+Treuhand | Wien+NÖ | P1,Miet- und Wohnrecht OPTIONAL,kündigung mietvertrag anwalt wien,Phrase,3.50,https://drweiser.at/immobilienrecht/mietrecht,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschaftsrecht Allgemein,gesellschaftsrecht anwalt wien,Exact,5.00,https://drweiser.at/gesellschaftsrecht,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschaftsrecht Allgemein,anwalt gesellschaftsrecht wien,Exact,5.00,https://drweiser.at/gesellschaftsrecht,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschaftsrecht Allgemein,unternehmensrecht anwalt wien,Phrase,4.50,https://drweiser.at/gesellschaftsrecht,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschaftsrecht Allgemein,wirtschaftsanwalt wien,Phrase,4.50,https://drweiser.at/gesellschaftsrecht,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschaftsrecht Allgemein,firmenanwalt wien,Phrase,4.00,https://drweiser.at/gesellschaftsrecht,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,gmbh gründung anwalt wien,Exact,5.00,https://drweiser.at/gesellschaftsrecht/gruendung,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,flexco gründen anwalt,Exact,3.00,https://drweiser.at/gesellschaftsrecht/gruendung,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,flexkapg gründung anwalt,Exact,3.00,https://drweiser.at/gesellschaftsrecht/gruendung,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,flexible kapitalgesellschaft anwalt,Phrase,3.00,https://drweiser.at/gesellschaftsrecht/gruendung,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,flexco gesellschaftsvertrag,Phrase,3.00,https://drweiser.at/gesellschaftsrecht/gruendung,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,gmbh gründen wien anwalt,Phrase,4.50,https://drweiser.at/gesellschaftsrecht/gruendung,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,gesellschaftsvertrag gmbh erstellen anwalt,Phrase,4.50,https://drweiser.at/gesellschaftsrecht/gruendung,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,gmbh gründung kosten anwalt wien,Phrase,4.00,https://drweiser.at/gesellschaftsrecht/gruendung,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,firmenbuch eintragung anwalt wien,Phrase,3.50,https://drweiser.at/gesellschaftsrecht/gruendung,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,startup gründung anwalt wien,Phrase,4.00,https://drweiser.at/gesellschaftsrecht/gruendung,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterverträge,syndikatsvertrag anwalt,Exact,4.50,https://drweiser.at/gesellschaftsrecht/vertraege,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterverträge,gesellschaftsvertrag anwalt wien,Exact,4.50,https://drweiser.at/gesellschaftsrecht/vertraege,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterverträge,syndikatsvertrag erstellen wien,Phrase,4.50,https://drweiser.at/gesellschaftsrecht/vertraege,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterverträge,gesellschaftervereinbarung anwalt,Phrase,4.00,https://drweiser.at/gesellschaftsrecht/vertraege,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterverträge,beteiligungsvertrag anwalt wien,Phrase,4.00,https://drweiser.at/gesellschaftsrecht/vertraege,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterverträge,gesellschaftsvertrag ändern anwalt,Phrase,4.00,https://drweiser.at/gesellschaftsrecht/vertraege,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Anteilsabtretung M&A,anteilsabtretung gmbh anwalt,Exact,5.00,https://drweiser.at/gesellschaftsrecht/unternehmenskauf,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Anteilsabtretung M&A,unternehmenskauf anwalt wien,Exact,5.50,https://drweiser.at/gesellschaftsrecht/unternehmenskauf,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Anteilsabtretung M&A,share deal anwalt wien,Phrase,5.00,https://drweiser.at/gesellschaftsrecht/unternehmenskauf,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Anteilsabtretung M&A,gmbh anteile verkaufen anwalt,Phrase,5.00,https://drweiser.at/gesellschaftsrecht/unternehmenskauf,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Anteilsabtretung M&A,due diligence anwalt wien,Phrase,5.00,https://drweiser.at/gesellschaftsrecht/unternehmenskauf,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Anteilsabtretung M&A,firmenübernahme anwalt wien,Phrase,4.50,https://drweiser.at/gesellschaftsrecht/unternehmenskauf,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterstreit,gesellschafterstreit anwalt wien,Exact,5.00,https://drweiser.at/gesellschaftsrecht/streit,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterstreit,geschäftsführerhaftung anwalt,Exact,5.00,https://drweiser.at/gesellschaftsrecht/streit,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterstreit,gesellschafter ausschließen anwalt,Phrase,4.50,https://drweiser.at/gesellschaftsrecht/streit,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterstreit,abberufung geschäftsführer anwalt,Phrase,4.50,https://drweiser.at/gesellschaftsrecht/streit,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschafterstreit,gmbh gesellschafter konflikt anwalt,Phrase,4.50,https://drweiser.at/gesellschaftsrecht/streit,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Privatstiftung,privatstiftung anwalt,Exact,3.00,https://drweiser.at/stiftungsrecht,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Privatstiftung,stiftungsrecht anwalt wien,Exact,3.00,https://drweiser.at/stiftungsrecht,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Privatstiftung,privatstiftung gründen anwalt,Phrase,3.00,https://drweiser.at/stiftungsrecht,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Privatstiftung,privatstiftung beratung anwalt,Phrase,2.50,https://drweiser.at/stiftungsrecht,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Privatstiftung,privatstiftung auflösen anwalt,Phrase,3.00,https://drweiser.at/stiftungsrecht,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Privatstiftung,stiftungsvorstand beratung anwalt,Phrase,2.50,https://drweiser.at/stiftungsrecht,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Stiftungsurkunden,stiftungsurkunde erstellen anwalt,Exact,2.50,https://drweiser.at/stiftungsrecht/urkunden,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Stiftungsurkunden,stiftungszusatzurkunde anwalt,Exact,2.50,https://drweiser.at/stiftungsrecht/urkunden,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Stiftungsurkunden,stiftungserklärung ändern anwalt,Phrase,2.50,https://drweiser.at/stiftungsrecht/urkunden,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Stiftungsurkunden,begünstigtenregelung stiftung anwalt,Phrase,2.50,https://drweiser.at/stiftungsrecht/urkunden,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Vermögensnachfolge,vermögensnachfolge anwalt,Exact,3.00,https://drweiser.at/nachfolge,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Vermögensnachfolge,unternehmensnachfolge anwalt wien,Exact,3.50,https://drweiser.at/nachfolge,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Vermögensnachfolge,nachfolgeplanung familienunternehmen anwalt,Phrase,3.00,https://drweiser.at/nachfolge,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Vermögensnachfolge,betriebsübergabe anwalt wien,Phrase,3.00,https://drweiser.at/nachfolge,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Vermögensnachfolge,vermögensweitergabe beratung anwalt,Phrase,2.50,https://drweiser.at/nachfolge,Enabled
